time_index,set_point,measurement,proportional,integrator,differentiator
0.00000,0.000,0.000,0.000,0.000,0.000
0.00040,-2.000,0.000,-1.000,-0.003,0.000
0.00080,0.000,0.000,0.000,-0.006,0.000
0.00120,-2.000,0.000,-1.000,-0.009,0.000
0.00160,0.000,0.000,0.000,-0.012,0.000
0.00200,-2.000,0.000,-1.000,-0.015,0.000
0.00240,0.000,0.000,0.000,-0.018,0.000
0.00280,-2.000,0.000,-1.000,-0.021,0.000
0.00320,0.000,0.000,0.000,-0.024,0.000
0.00360,-1.119,0.000,-0.559,-0.025,0.000
0.00400,0.000,0.000,0.000,-0.027,0.000
0.00440,-0.330,0.000,-0.165,-0.027,0.000
0.00480,0.000,0.000,0.000,-0.028,0.000
0.00520,-0.083,0.000,-0.041,-0.028,0.000
0.00560,0.000,0.000,0.000,-0.028,0.000
0.00600,0.000,0.000,0.000,-0.028,0.000
0.00640,0.000,0.000,0.000,-0.028,0.000
0.00680,0.000,0.000,0.000,-0.028,0.000
0.00720,0.000,0.000,0.000,-0.028,0.000
0.00760,0.000,0.000,0.000,-0.028,0.000
0.00800,0.000,0.000,0.000,-0.028,0.000
0.00840,0.000,0.000,0.000,-0.028,0.000
0.00880,0.000,0.000,0.000,-0.028,0.000
0.00920,0.000,0.000,0.000,-0.028,0.000
0.00960,0.000,0.000,0.000,-0.028,0.000
0.01000,0.000,0.000,0.000,-0.028,0.000
0.01040,0.000,0.000,0.000,-0.028,0.000
0.01080,0.000,-0.086,0.043,-0.028,0.000
0.01120,0.000,-0.149,0.074,-0.028,0.000
0.01160,0.000,-0.108,0.054,-0.027,0.000
0.01200,0.000,-0.079,0.039,-0.027,0.000
0.01240,0.000,-0.057,0.028,-0.027,0.000
0.01280,0.000,-0.042,0.021,-0.027,0.000
0.01320,0.000,-0.030,0.015,-0.026,0.000
0.01360,0.000,-0.022,0.011,-0.026,0.000
0.01400,0.000,-0.016,0.008,-0.026,0.000
0.01440,0.000,-0.011,0.005,-0.026,0.000
0.01480,0.000,-0.008,0.004,-0.026,0.000
0.01520,0.000,-0.006,0.003,-0.026,0.000
0.01560,0.000,-0.004,0.002,-0.026,0.000
0.01600,-0.247,-0.003,-0.122,-0.027,0.000
0.01640,0.000,-0.002,0.001,-0.027,0.000
0.01680,0.000,-0.001,0.000,-0.027,0.000
0.01720,0.000,-0.001,0.000,-0.027,0.000
0.01760,0.000,0.000,0.000,-0.027,0.000
0.01800,0.000,0.000,0.000,-0.027,0.000
0.01840,0.000,0.000,0.000,-0.027,0.000
0.01880,0.000,0.000,0.000,-0.027,0.000
0.01920,0.000,0.000,0.000,-0.027,0.000
0.01960,0.000,-0.086,0.043,-0.027,0.000
0.02000,0.000,-0.149,0.074,-0.026,0.000
0.02040,0.000,-0.108,0.054,-0.026,0.000
0.02080,0.000,-0.079,0.039,-0.026,0.000
0.02120,0.000,-0.057,0.028,-0.026,0.000
0.02160,0.000,-0.042,0.021,-0.025,0.000
0.02200,0.000,-0.030,0.015,-0.025,0.000
0.02240,0.000,-0.022,0.011,-0.025,0.000
0.02280,0.000,-0.016,0.008,-0.025,0.000
0.02320,-0.263,-0.011,-0.125,-0.026,0.000
0.02360,0.000,-0.008,0.004,-0.026,0.000
0.02400,-0.084,-0.006,-0.039,-0.026,0.000
0.02440,0.000,-0.004,0.002,-0.026,0.000
0.02480,-0.033,-0.003,-0.015,-0.026,0.000
0.02520,0.000,-0.002,0.001,-0.026,0.000
0.02560,0.000,-0.001,0.000,-0.026,0.000
0.02600,0.000,-0.001,0.000,-0.026,0.000
0.02640,0.000,0.000,0.000,-0.026,0.000
0.02680,0.000,0.000,0.000,-0.026,0.000
0.02720,-0.143,0.000,-0.071,-0.026,0.000
0.02760,0.000,0.000,0.000,-0.027,0.000
0.02800,0.000,0.000,0.000,-0.027,0.000
0.02840,0.000,0.000,0.000,-0.027,0.000
0.02880,0.000,0.000,0.000,-0.027,0.000
0.02920,-0.001,0.000,0.000,-0.027,0.000
0.02960,0.000,0.000,0.000,-0.027,0.000
0.03000,0.000,0.000,0.000,-0.027,0.000
0.03040,0.000,0.000,0.000,-0.027,0.000
0.03080,0.000,0.000,0.000,-0.027,0.000
0.03120,0.000,0.000,0.000,-0.027,0.000
0.03160,0.000,0.000,0.000,-0.027,0.000
0.03200,0.000,0.000,0.000,-0.027,0.000
0.03240,0.000,0.000,0.000,-0.027,0.000
0.03280,0.000,0.000,0.000,-0.027,0.000
0.03320,0.000,0.000,0.000,-0.027,0.000
0.03360,0.000,0.000,0.000,-0.027,0.000
0.03400,0.000,0.000,0.000,-0.027,0.000
0.03440,-0.034,0.000,-0.017,-0.027,0.000
0.03480,0.000,0.000,0.000,-0.027,0.000
0.03520,0.000,0.000,0.000,-0.027,0.000
0.03560,-0.031,0.000,-0.015,-0.027,0.000
0.03600,-0.182,0.000,-0.091,-0.027,0.000
0.03640,0.000,0.000,0.000,-0.027,0.000
0.03680,0.000,0.000,0.000,-0.027,0.000
0.03720,-0.033,0.000,-0.016,-0.027,0.000
0.03760,-0.017,0.000,-0.008,-0.027,0.000
0.03800,0.000,0.000,0.000,-0.028,0.000
0.03840,-0.009,0.000,-0.004,-0.028,0.000
0.03880,-0.137,0.000,-0.068,-0.028,0.000
0.03920,0.000,0.000,0.000,-0.028,0.000
0.03960,0.000,0.000,0.000,-0.028,0.000
0.04000,0.000,0.000,0.000,-0.028,0.000
0.04040,-0.045,0.000,-0.022,-0.028,0.000
0.04080,-0.010,0.000,-0.005,-0.028,0.000
0.04120,0.000,0.000,0.000,-0.028,0.000
0.04160,-0.027,0.000,-0.013,-0.028,0.000
0.04200,-0.040,0.000,-0.020,-0.028,0.000
0.04240,0.000,0.000,0.000,-0.028,0.000
0.04280,-0.051,0.000,-0.025,-0.028,0.000
0.04320,0.000,0.000,0.000,-0.028,0.000
0.04360,0.000,0.000,0.000,-0.028,0.000
0.04400,0.000,0.000,0.000,-0.028,0.000
0.04440,0.000,0.000,0.000,-0.028,0.000
0.04480,0.000,0.000,0.000,-0.028,0.000
0.04520,0.000,0.000,0.000,-0.028,0.000
0.04560,0.000,0.000,0.000,-0.028,0.000
0.04600,0.000,0.000,0.000,-0.028,0.000
0.04640,0.000,0.000,0.000,-0.028,0.000
0.04680,10.000,0.000,5.000,-0.013,0.000
0.04720,10.000,0.000,5.000,0.016,0.000
0.04760,10.000,0.000,5.000,0.046,0.000
0.04800,10.000,0.000,5.000,0.076,0.000
0.04840,10.000,0.000,5.000,0.106,0.000
0.04880,10.000,0.000,5.000,0.136,0.000
0.04920,10.000,0.000,5.000,0.166,0.000
0.04960,9.225,0.000,4.612,0.194,0.000
0.05000,10.000,0.000,5.000,0.223,0.000
0.05040,9.752,0.000,4.876,0.253,0.000
0.05080,10.000,0.000,5.000,0.282,0.000
0.05120,9.962,0.000,4.981,0.312,0.000
0.05160,10.000,0.000,5.000,0.342,0.000
0.05200,10.000,0.000,5.000,0.372,0.000
0.05240,10.000,0.000,5.000,0.402,0.000
0.05280,10.000,0.000,5.000,0.432,0.000
0.05320,9.811,0.000,4.905,0.462,0.000
0.05360,10.000,0.000,5.000,0.492,0.000
0.05400,9.960,0.000,4.980,0.522,0.000
0.05440,10.000,0.000,5.000,0.552,0.000
0.05480,10.000,0.000,5.000,0.582,0.000
0.05520,10.000,0.000,5.000,0.612,0.000
0.05560,9.997,0.000,4.998,0.642,0.000
0.05600,10.000,0.000,5.000,0.672,0.000
